epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,lr,epoch_seconds
1,1.75988,1.24941,0.8105,0.7055,0.5946,0.5423,0.9144,0.0003,110.9
2,1.10654,0.96257,0.8655,0.7673,0.6649,0.6271,0.9368,0.000298,34.7
3,0.87728,0.91129,0.8938,0.7982,0.6889,0.6654,0.942,0.000292,36.4
4,0.72745,1.29927,0.8771,0.7818,0.6618,0.6509,0.9326,0.00028217,44.4
5,0.60934,0.97343,0.8781,0.78,0.7027,0.6545,0.9348,0.00026878,43.3
6,0.48967,1.11666,0.8884,0.7764,0.674,0.6334,0.939,0.00025219,40.9
7,0.45491,1.33879,0.8557,0.8055,0.6279,0.6399,0.9351,0.00023285,39.8
8,0.36426,1.76957,0.8659,0.7509,0.6602,0.6147,0.9232,0.00021129,42.1
