label,class_name,precision,recall,f1,support
0,No DR,0.9777,0.9705,0.9741,271
1,Mild,0.5962,0.5536,0.5741,56
2,Moderate,0.7244,0.7533,0.7386,150
3,Severe,0.3556,0.5517,0.4324,29
4,Proliferative DR,0.7857,0.5,0.6111,44
