model,metric,difference,ci_low,ci_high,prob_better,distinguishable
densenet121_weighted,qwk,-0.0049,-0.021,0.0116,0.262,False
densenet121_weighted,accuracy,-0.0636,-0.0945,-0.0327,0.0,True
effnetb3_weighted,qwk,0.0313,0.0098,0.0531,0.998,True
effnetb3_weighted,accuracy,-0.0018,-0.0291,0.0255,0.42,False
resnet50_weighted,qwk,0.0099,-0.0071,0.0278,0.854,False
resnet50_weighted,accuracy,-0.0182,-0.0436,0.0055,0.063,False
ensemble_gmean,qwk,0.0123,-0.0045,0.0306,0.918,False
ensemble_gmean,accuracy,-0.0236,-0.0545,0.0055,0.052,False
