model,qwk,qwk_ci,qwk_lo,qwk_hi,accuracy,accuracy_ci,accuracy_lo,accuracy_hi,balanced_accuracy,balanced_accuracy_ci,balanced_accuracy_lo,balanced_accuracy_hi
ensemble_gmean,0.8935,"[0.866, 0.919]",0.8662,0.919,0.8036,"[0.773, 0.835]",0.7727,0.8346,0.6383,"[0.583, 0.688]",0.5833,0.6878
densenet121_weighted,0.891,"[0.865, 0.916]",0.8645,0.9162,0.7964,"[0.762, 0.829]",0.7618,0.8291,0.637,"[0.582, 0.689]",0.5818,0.6887
resnet50_weighted,0.8773,"[0.847, 0.904]",0.8472,0.9043,0.7964,"[0.765, 0.831]",0.7654,0.8309,0.6017,"[0.547, 0.656]",0.5474,0.6561
effnetb3_weighted,0.8583,"[0.824, 0.888]",0.8235,0.8884,0.78,"[0.744, 0.815]",0.7436,0.8145,0.6428,"[0.586, 0.693]",0.5857,0.6932
